2024-06-30 23:54:58,209 - INFO - Configuration:
{
    "task": "2",
    "topic": "ft_balanced_best_mix_fusion",
    "fusion": true,
    "feature_save_dir": "",
    "number_gpus": "1",
    "modalities": [
        "rgb",
        "ir",
        "depth",
        "skeleton"
    ],
    "encoder_model": "MIX",
    "modalities_encoders": {
        "rgb": "CLIP-VIP",
        "ir": "OMNIVORE",
        "depth": "OMNIVORE",
        "skeleton": "CLIP-VIP"
    },
    "dataset": "DAA",
    "split": "1",
    "num_classes": 34,
    "in_features": 512,
    "full_train_classifiers": false,
    "epochs": 500,
    "res_cktp": false,
    "mixed_frames": false,
    "augs": true,
    "cktp_dir": "/home/bas06400/Thesis/VIP/src/align_checkpoints",
    "aligned_model": "checkpoint_rgb_ir_depth_skeleton_MIX_DAA_1_20240629_004303.pth",
    "learning_rate": 1e-05,
    "temperature": 0.1,
    "num_workers": 10,
    "data_list": "/home/bas06400/Thesis/rgb_ir_dataset.txt",
    "data_root": "/net/polaris/storage/deeplearning/ntu",
    "batch_size": 32,
    "random_sample": false,
    "pin_memory": true,
    "clip_config": "openai/clip-vit-base-patch16",
    "clip_weights": "openai/clip-vit-base-patch16",
    "clip_vision_additional_config": {
        "type": "ViP",
        "temporal_size": 12,
        "if_use_temporal_embed": true,
        "logit_scale_init_value": 4.6,
        "add_cls_num": 3
    },
    "e2e_weights_path": "/home/bas06400/Thesis/pretrain_clipvip_base_16.pt"
}
2024-06-30 23:54:58,376 - INFO - Applying Augmentations
2024-06-30 23:54:58,380 - INFO - Applying Augmentations
2024-06-30 23:54:58,385 - INFO - Applying Augmentations
2024-06-30 23:54:58,386 - INFO - Training classifiers...
2024-06-30 23:54:58,437 - INFO - Training on the following GPUs [0]
2024-06-30 23:55:00,504 - INFO - Using depth mode summed_rgb_d_tokens
2024-06-30 23:55:02,005 - INFO - Using depth mode summed_rgb_d_tokens
2024-07-01 02:03:47,245 - INFO - Epoch 33, Train - all - Loss: 0.0117, Accuracy: 0.9973, Balanced Accuracy: 0.9973
2024-07-01 02:03:47,337 - INFO - Epoch 33, Val - all - Loss: 1.3336, Accuracy: 0.8166, Balanced Accuracy: 0.6477
2024-07-01 02:04:07,435 - INFO - Epoch 34, Train - all - Loss: 0.0117, Accuracy: 0.9974, Balanced Accuracy: 0.9974
2024-07-01 02:04:07,519 - INFO - Epoch 34, Val - all - Loss: 1.3424, Accuracy: 0.8195, Balanced Accuracy: 0.6486
2024-07-01 02:04:25,699 - INFO - Epoch 35, Train - all - Loss: 0.0124, Accuracy: 0.9973, Balanced Accuracy: 0.9973
2024-07-01 02:04:25,782 - INFO - Epoch 35, Val - all - Loss: 1.3618, Accuracy: 0.8188, Balanced Accuracy: 0.6485
2024-07-01 02:04:43,912 - INFO - Epoch 36, Train - all - Loss: 0.0109, Accuracy: 0.9977, Balanced Accuracy: 0.9977
2024-07-01 02:04:43,993 - INFO - Epoch 36, Val - all - Loss: 1.3737, Accuracy: 0.8173, Balanced Accuracy: 0.6479
2024-07-01 02:05:02,183 - INFO - Epoch 37, Train - all - Loss: 0.0097, Accuracy: 0.9979, Balanced Accuracy: 0.9979
2024-07-01 02:05:02,267 - INFO - Epoch 37, Val - all - Loss: 1.3846, Accuracy: 0.8188, Balanced Accuracy: 0.6486
2024-07-01 02:05:20,403 - INFO - Epoch 38, Train - all - Loss: 0.0090, Accuracy: 0.9981, Balanced Accuracy: 0.9981
2024-07-01 02:05:20,481 - INFO - Epoch 38, Val - all - Loss: 1.3991, Accuracy: 0.8188, Balanced Accuracy: 0.6488
2024-07-01 02:05:37,037 - INFO - Epoch 39, Train - all - Loss: 0.0094, Accuracy: 0.9978, Balanced Accuracy: 0.9978
